Brand,Category,Bookings Budget,Bookings Forecast,Final Bookings Actual
A2C,Dollars,1613.0,3450.0,1960.0
A2C,MQLs,10.0,8.0,4.0
A2C,Units,2.0,3.0,5.0
APEX,Dollars,5824.0,3120.0,1560.0
APEX,MQLs,317.0,226.0,144.0
APEX,Units,64.0,48.0,24.0
AccuPoint,Dollars,0.0,0.0,1900.0
AccuPoint,MQLs,0.0,2.0,3.0
AccuPoint,Units,0.0,0.0,2.0
Accupoint PMS ,Dollars,13620.0,10000.0,7945.0
Accupoint PMS ,MQLs,101.0,116.0,62.0
Accupoint PMS ,Units,12.0,7.0,7.0
Accupoint RCM,Dollars,3129.0,1500.0,2500.0
Accupoint RCM,MQLs,0.0,0.0,0.0
Accupoint RCM,Units,1.0,1.0,1.0
Billcare,Dollars,4506.0,3200.0,295.0
Billcare,MQLs,8.0,20.0,22.0
Billcare,Units,2.0,2.0,1.0
CX AC Catalyst,Dollars,980.0,0.0,0.0
CX AC Catalyst,MQLs,0.0,0.0,0.0
CX AC Catalyst,Units,1.0,0.0,0.0
CX AC Pinnacle,Dollars,109.0,0.0,0.0
CX AC Pinnacle,MQLs,0.0,0.0,0.0
CX AC Pinnacle,Units,0.0,0.0,0.0
CX CM Catalyst,Dollars,937.0,0.0,0.0
CX CM Catalyst,MQLs,0.0,0.0,0.0
CX CM Catalyst,Units,1.0,0.0,0.0
CX CM Pinnacle,Dollars,104.0,0.0,0.0
CX CM Pinnacle,MQLs,0.0,0.0,0.0
CX CM Pinnacle,Units,0.0,0.0,0.0
CX DF Pinnacle,Dollars,2535.0,0.0,0.0
CX DF Pinnacle,MQLs,0.0,0.0,0.0
CX DF Pinnacle,Units,6.0,0.0,0.0
CX Fusion Payments,Dollars,329.0,0.0,0.0
CX Fusion Payments,MQLs,0.0,0.0,0.0
CX Fusion Payments,Units,8.0,0.0,0.0
CX Theralink,Dollars,135.0,0.0,0.0
CX Theralink,MQLs,0.0,0.0,0.0
CX Theralink,Units,4.0,0.0,0.0
CX WA Catalyst,Dollars,980.0,0.0,0.0
