Brand,Category,Bookings Budget,Bookings Forecast,Final Bookings Actual
A2C,Dollars,1613.0,10241.0,6400.0
A2C,MQLs,11.0,7.0,6.0
A2C,Units,2.0,3.0,5.0
APEX,Dollars,5760.0,3120.0,3575.0
APEX,MQLs,286.0,235.0,218.0
APEX,Units,64.0,48.0,55.0
AccuPoint,Dollars,0.0,1900.0,1900.0
AccuPoint,MQLs,0.0,5.0,0.0
AccuPoint,Units,0.0,2.0,2.0
Accupoint PMS ,Dollars,13380.0,14495.0,11150.0
Accupoint PMS ,MQLs,75.0,75.0,46.0
Accupoint PMS ,Units,12.0,13.0,10.0
Accupoint RCM,Dollars,2995.0,21000.0,16360.0
Accupoint RCM,MQLs,0.0,0.0,0.0
Accupoint RCM,Units,1.0,4.0,4.0
CX AC Catalyst,Dollars,0.0,0.0,0.0
CX AC Catalyst,MQLs,0.0,0.0,0.0
CX AC Catalyst,Units,0.0,0.0,0.0
CX AC Pinnacle,Dollars,0.0,0.0,0.0
CX AC Pinnacle,MQLs,0.0,0.0,0.0
CX AC Pinnacle,Units,0.0,0.0,0.0
CX CM Catalyst,Dollars,937.0,0.0,0.0
CX CM Catalyst,MQLs,0.0,0.0,0.0
CX CM Catalyst,Units,1.0,0.0,0.0
CX CM Pinnacle,Dollars,104.0,0.0,0.0
CX CM Pinnacle,MQLs,0.0,0.0,0.0
CX CM Pinnacle,Units,0.0,0.0,0.0
CX DF Pinnacle,Dollars,2535.0,0.0,0.0
CX DF Pinnacle,MQLs,0.0,0.0,0.0
CX DF Pinnacle,Units,6.0,0.0,0.0
CX Fusion Payments,Dollars,328.0,0.0,0.0
CX Fusion Payments,MQLs,0.0,0.0,0.0
CX Fusion Payments,Units,8.0,0.0,0.0
CX Theralik,Dollars,90.0,0.0,0.0
CX Theralik,MQLs,0.0,0.0,0.0
CX Theralik,Units,2.0,0.0,0.0
CX Theralink,Dollars,45.0,0.0,0.0
CX Theralink,MQLs,0.0,0.0,0.0
CX Theralink,Units,1.0,0.0,0.0
CX WA Catalyst,Dollars,980.0,0.0,0.0
CX WA Catalyst,MQLs,0.0,0.0,0.0
CX WA Catalyst,Units,1.0,0.0,0.0
CX WA Pinnacle,Dollars,109.0,0.0,0.0
CX WA Pinnacle,MQLs,0.0,0.0,0.0
CX WA Pinnacle,Units,0.0,0.0,0.0
Code Metro PMS,Dollars,6725.0,7560.0,6373.0
Code Metro PMS,MQLs,65.0,72.0,64.0
Code Metro PMS,Units,5.0,5.0,7.0
Code Metro RCM,Dollars,5635.0,17910.0,22600.0
Code Metro RCM,MQLs,0.0,0.0,0.0
Code Metro RCM,Units,1.0,3.0,3.0
CodeMetro,Dollars,0.0,3000.0,9200.0
CodeMetro,MQLs,0.0,0.0,0.0
CodeMetro,Units,0.0,1.0,3.0
DF Pinnacle Upsell,Dollars,3636.0,600.0,75.0
DF Pinnacle Upsell,MQLs,0.0,0.0,0.0
DF Pinnacle Upsell,Units,9.0,2.0,1.0
DataFinch,Dollars,30960.0,18000.0,18000.0
DataFinch,MQLs,117.0,99.0,120.0
DataFinch,Units,43.0,25.0,25.0
Fusion,Dollars,0.0,4990.0,6686.0
Fusion,MQLs,0.0,2.0,7.0
Fusion,Units,0.0,3.0,6.0
Fusion Claims,Dollars,126.0,0.0,0.0
Fusion Claims,MQLs,0.0,0.0,0.0
Fusion Claims,Units,1.0,0.0,0.0
Fusion PMS,Dollars,20434.0,17429.0,16227.0
Fusion PMS,MQLs,147.0,120.0,121.0
Fusion PMS,Units,34.0,29.0,27.0
Fusion Payments,Dollars,732.0,861.0,1120.0
Fusion Payments,MQLs,0.0,0.0,0.0
Fusion Payments,Units,18.0,19.0,28.0
Fusion RCM,Dollars,1548.0,1290.0,1290.0
Fusion RCM,MQLs,0.0,0.0,0.0
Fusion RCM,Units,2.0,2.0,2.0
KASA RCM,Dollars,7806.0,13680.0,14364.0
KASA RCM,MQLs,110.0,70.0,165.0
KASA RCM,Units,11.0,20.0,21.0
Logik ,Dollars,3463.0,24000.0,23060.0
Logik ,MQLs,8.0,3.0,0.0
Logik ,Units,1.0,3.0,2.0
MCP,Dollars,0.0,0.0,0.0
MCP,MQLs,0.0,0.0,0.0
MCP,Units,0.0,0.0,0.0
